lambda,train_pinball,val_pinball,cov_train,cov_val,w_norm,weights_head
0.0,633.6460506301779,777.2730681801912,0.9949567723342939,0.9942446043165467,0.8844736714733112,"[0.7564431367499307, -0.0034184014999982595, 0.015570238645840326, -0.05027037250000099, -0.3779409202499996, -0.0020437959859326152, -0.0020328908955951834, -0.001935738993566321]"
0.0001,633.6460436948248,777.2730614724428,0.9949567723342939,0.9942446043165467,0.8844736710001656,"[0.7564431363411367, -0.0034184015397697894, 0.01557023860211574, -0.05027037247711266, -0.37794092007619284, -0.0020437959851986576, -0.002032890894866595, -0.0019357389928849613]"
0.001,633.6459812701671,777.2730010962557,0.9949567723342939,0.9942446043165467,0.884473666741305,"[0.7564431326613346, -0.003418401897747239, 0.015570238208596553, -0.05027037227113074, -0.3779409185119253, -0.0020437959785929087, -0.0020328908883103284, -0.0019357389867523697]"
0.01,633.6453570235044,777.2723973343169,0.9949567723342939,0.9942446043165467,0.8844736241527151,"[0.7564430958633368, -0.0034184054775278257, 0.015570234273409943, -0.050270370211311984, -0.3779409028692504, -0.0020437959125355573, -0.0020328908227477747, -0.0019357389254265394]"
0.1,5133.001212391332,5198.4695313726115,1.0,1.0,0.9972761485802096,"[0.8446325698424155, 0.08584370713479507, 0.10490108912379983, -0.04837012216913052, -0.3735494247092106, -0.001547657393914686, -0.0015367272111323172, -0.0014396179253478355]"
1.0,635.2583667326799,779.0008245706617,0.9949567723342939,0.9942446043165467,0.8854722035716254,"[0.7577352843196418, -0.0038467007002200883, 0.015259542104561617, -0.05057076745482165, -0.37782364147012815, -0.002072344498261102, -0.002061373753195847, -0.001964090604714644]"
10.0,2132.498499578371,2248.483759622823,1.0,1.0,0.9212209139360586,"[0.789075239530394, 0.024634218339466676, 0.04453573533203377, -0.050701135359224166, -0.37518311921757497, -0.001984291718933016, -0.0019734057498954874, -0.001876321541293594]"
