lr,lambda,train_pinball,val_pinball,cov_train,cov_val,w_norm,status
1e-08,0.0,874.5548776413589,1035.96007598087,0.8097982708933718,0.8705035971223022,0.4490746912930256,ok
1e-08,0.0001,874.5548777291672,1035.9600606334047,0.8097982708933718,0.8705035971223022,0.44907468882215984,ok
1e-08,0.001,874.554876055592,1035.9590592630373,0.8097982708933718,0.8705035971223022,0.449074530552367,ok
1e-08,0.01,874.5548777501135,1035.9607858541917,0.8101585014409222,0.8705035971223022,0.44907480616679474,ok
1e-08,0.1,874.5548756727177,1035.9593032421362,0.8097982708933718,0.8705035971223022,0.4490745718989525,ok
1e-08,1.0,874.5548822193124,1035.9587726396642,0.8097982708933718,0.8705035971223022,0.4490745157864061,ok
1e-08,10.0,874.5549349062621,1035.9604290200316,0.8101585014409222,0.8705035971223022,0.44907509429259346,ok
1e-09,0.0,13707.711768978152,12350.475424988892,0.0,0.0,0.278964858957405,ok
1e-09,0.0001,13707.711776757022,12350.475432637943,0.0,0.0,0.2789648588737507,ok
1e-09,0.001,13707.711846772941,12350.475501485469,0.0,0.0,0.2789648581207966,ok
1e-09,0.01,13707.712546931993,12350.47618996061,0.0,0.0,0.27896485059125625,ok
1e-09,0.1,13707.719548521134,12350.48307471068,0.0,0.0,0.2789647752958678,ok
1e-09,1.0,13707.789564274019,12350.551922075163,0.0,0.0,0.27896402234347284,ok
1e-09,10.0,13708.489707949686,12351.240382097983,0.0,0.0,0.27895649296850117,ok
1e-10,0.0,37054.12953064406,35307.29966480089,0.0,0.0,0.02789648589574222,ok
1e-10,0.0001,37054.12953072194,35307.299664877486,0.0,0.0,0.0278964858949046,ok
1e-10,0.001,37054.1295314221,35307.29966556595,0.0,0.0,0.027896485887375068,ok
1e-10,0.01,37054.12953842369,35307.2996724507,0.0,0.0,0.027896485812079666,ok
1e-10,0.1,37054.1296084396,35307.299741298215,0.0,0.0,0.027896485059125616,ok
1e-10,1.0,37054.13030859851,35307.300429773226,0.0,0.0,0.027896477529586766,ok
1e-10,10.0,37054.137310173806,35307.30731450968,0.0,0.0,0.027896402234347212,ok
